level,model,mse,mae,r2
L1_top10,Ridge,184.20082092285156,10.609831809997559,0.2647116780281067
L1_top10,XGBoost,186.3413848876953,10.645768165588379,0.2561669945716858
L1_top10,NeuralNet,185.22862243652344,10.638635635375977,0.2606089115142822
L1_all,Ridge,185.11447143554688,10.622115135192871,0.2610645890235901
L1_all,XGBoost,187.2341766357422,10.680987358093262,0.2526031732559204
L1_all,NeuralNet,186.10604858398438,10.64780330657959,0.2571064233779907
L2_w20,Ridge,203.68350219726562,11.229104042053223,0.18694114685058594
L2_w20,XGBoost,204.0954132080078,11.208544731140137,0.185296893119812
L2_w20,NeuralNet,205.74949645996094,11.276962280273438,0.17869418859481812
L3_agg_w20,Ridge,208.12753295898438,11.223328590393066,0.16920161247253418
L3_agg_w20,XGBoost,212.88304138183594,11.376108169555664,0.150218665599823
L3_agg_w20,NeuralNet,210.8589324951172,11.329083442687988,0.15829843282699585
