window,model,mse,mae,r2,alpha,trees
3,Ridge,227.41555786132812,11.86173152923584,0.09220808744430542,1000.0,
3,XGBoost,229.3336944580078,11.939027786254883,0.08455133438110352,,322.0
5,Ridge,217.66102600097656,11.605649948120117,0.13114601373672485,1000.0,
5,XGBoost,220.12428283691406,11.682096481323242,0.12131321430206299,,408.0
7,Ridge,213.2295379638672,11.435738563537598,0.14883548021316528,500.0,
7,XGBoost,213.20591735839844,11.45621395111084,0.14892977476119995,,394.0
10,Ridge,209.35357666015625,11.367431640625,0.16430747509002686,500.0,
10,XGBoost,211.49200439453125,11.428227424621582,0.1557713747024536,,357.0
15,Ridge,207.3926544189453,11.301994323730469,0.17213505506515503,500.0,
15,XGBoost,209.79232788085938,11.38819694519043,0.16255611181259155,,367.0
20,Ridge,203.68350219726562,11.229104042053223,0.18694114685058594,500.0,
20,XGBoost,204.0954132080078,11.208544731140137,0.185296893119812,,368.0
30,Ridge,203.62252807617188,11.220911026000977,0.18718457221984863,500.0,
30,XGBoost,204.87985229492188,11.225778579711914,0.18216562271118164,,426.0
