mse,mae,median_ae,r2,model,feature_set,n_features,train_time
201.20669555664062,11.019913673400879,8.908297538757324,0.22338557243347168,Ridge,L6_only,62,0.04664492607116699
174.86647033691406,9.934216499328613,7.474239826202393,0.32505321502685547,XGBoost,L6_only,62,0.35155820846557617
170.6693878173828,9.854363441467285,7.44966983795166,0.34125298261642456,NN,L6_only,62,15.602622509002686
192.49440002441406,10.832019805908203,8.70702838897705,0.257013201713562,Ridge,L1_only,55,0.055979013442993164
196.47525024414062,10.92908763885498,8.64042854309082,0.2416478991508484,XGBoost,L1_only,55,0.28881025314331055
192.6157989501953,10.825580596923828,8.696524620056152,0.2565445899963379,NN,L1_only,55,11.255109786987305
189.45413208007812,10.59768009185791,8.394502639770508,0.2687479257583618,Ridge,L1+L6,116,0.1072089672088623
163.82554626464844,9.510856628417969,7.061714172363281,0.3676687479019165,XGBoost,L1+L6,116,0.23300862312316895
162.05172729492188,9.464983940124512,7.020666122436523,0.3745152950286865,NN,L1+L6,116,15.179643154144287
189.29969787597656,10.718718528747559,8.568693161010742,0.2693440318107605,Ridge,L1+L5,78,0.07284188270568848
191.8586883544922,10.798087120056152,8.757607460021973,0.25946688652038574,XGBoost,L1+L5,78,0.19884324073791504
191.28192138671875,10.748824119567871,8.693915367126465,0.2616930603981018,NN,L1+L5,78,19.037763833999634
187.57443237304688,10.538494110107422,8.466041564941406,0.2760031819343567,Ridge,L1+L5+L6,139,0.11818099021911621
162.57192993164062,9.456881523132324,6.925890922546387,0.3725074529647827,XGBoost,L1+L5+L6,139,0.39122867584228516
160.21913146972656,9.401004791259766,6.912020206451416,0.38158875703811646,NN,L1+L5+L6,139,15.515793323516846
187.35757446289062,10.517626762390137,8.486663818359375,0.2768401503562927,Ridge,L1+L5+L6_enh,145,0.1166532039642334
163.00965881347656,9.535964012145996,7.108896255493164,0.3708178997039795,XGBoost,L1+L5+L6_enh,145,0.2928049564361572
160.2802276611328,9.431784629821777,6.954440593719482,0.38135290145874023,NN,L1+L5+L6_enh,145,14.816452264785767
