level,config_idx,nn_lr,nn_dropout,nn_batch_size,nn_weight_decay,nn_hidden_dims,val_mse,test_mae,test_mse,test_r2,time
L1,0,0.001,0.3,64,0.0001,"(256, 128, 64)",187.30642700195312,10.694453239440918,187.77099609375,0.25046032667160034,3.8029868602752686
L1,1,0.0005,0.2,128,0.0001,"(256, 128, 64)",187.2564697265625,10.618775367736816,185.55589294433594,0.2593024969100952,1.8356001377105713
L1,2,0.001,0.4,64,0.001,"(128, 64, 32)",186.94598388671875,10.668170928955078,187.34315490722656,0.2521681785583496,3.9905335903167725
L1,3,0.0005,0.3,64,0.0001,"(512, 256, 128)",187.579345703125,10.672820091247559,186.6387939453125,0.25497978925704956,3.4943783283233643
L1,4,0.001,0.2,32,1e-05,"(256, 128, 64)",187.6356658935547,10.652082443237305,185.99888610839844,0.2575341463088989,6.74926233291626
L1,5,0.0003,0.3,64,0.001,"(128, 64)",187.41526794433594,10.626419067382812,185.18528747558594,0.2607818841934204,3.1230485439300537
L2,0,0.001,0.3,64,0.0001,"(256, 128, 64)",208.96290588378906,11.482999801635742,212.97679138183594,0.14984440803527832,3.6141538619995117
L2,1,0.0005,0.2,128,0.0001,"(256, 128, 64)",208.57034301757812,11.442054748535156,211.47540283203125,0.15583759546279907,2.0899620056152344
L2,2,0.001,0.4,64,0.001,"(128, 64, 32)",208.1542510986328,11.43172550201416,210.7679901123047,0.15866148471832275,3.435506582260132
L2,3,0.0005,0.3,64,0.0001,"(512, 256, 128)",210.10333251953125,11.5083646774292,212.60816955566406,0.1513158679008484,3.296895742416382
L2,4,0.001,0.2,32,1e-05,"(256, 128, 64)",209.98126220703125,11.633373260498047,217.6953582763672,0.13100898265838623,7.420983791351318
L2,5,0.0003,0.3,64,0.001,"(128, 64)",209.0906219482422,11.452190399169922,211.40426635742188,0.15612155199050903,3.688354015350342
L3_agg,0,0.001,0.3,64,0.0001,"(256, 128, 64)",220.36785888671875,11.732028007507324,223.4681854248047,0.10796511173248291,3.2160990238189697
L3_agg,1,0.0005,0.2,128,0.0001,"(256, 128, 64)",219.65322875976562,11.644165992736816,222.13900756835938,0.11327093839645386,2.099172353744507
L3_agg,2,0.001,0.4,64,0.001,"(128, 64, 32)",219.94357299804688,11.71437931060791,223.41212463378906,0.1081889271736145,3.665477752685547
L3_agg,3,0.0005,0.3,64,0.0001,"(512, 256, 128)",220.20703125,11.713699340820312,224.76954650878906,0.10277038812637329,3.5914745330810547
L3_agg,4,0.001,0.2,32,1e-05,"(256, 128, 64)",220.13221740722656,11.709550857543945,223.52438354492188,0.10774075984954834,6.07498836517334
L3_agg,5,0.0003,0.3,64,0.001,"(128, 64)",219.72019958496094,11.641275405883789,221.7357940673828,0.11488044261932373,3.6270864009857178
