mse,mae,median_ae,r2,experiment,model,train_time,alpha,best_iteration,best_val_mse,val_mae,val_mse
185.11447143554688,10.622115135192871,8.528216361999512,0.2610645890235901,L1_baseline,Ridge,0.028708457946777344,1000.0,,,,
189.84085083007812,10.77127742767334,8.619291305541992,0.24219787120819092,L1_baseline,XGBoost,0.31414175033569336,,48.0,,,
187.77099609375,10.694453239440918,8.552370071411133,0.25046032667160034,L1_baseline,NeuralNet,4.005450487136841,,,187.30642700195312,,
209.9859619140625,11.400468826293945,9.134771347045898,0.1617830991744995,L2_baseline,Ridge,0.07634806632995605,1000.0,,,,
215.44520568847656,11.610227584838867,9.581070899963379,0.13999104499816895,L2_baseline,XGBoost,0.21686267852783203,,84.0,,,
217.89891052246094,11.616349220275879,9.655688285827637,0.1301964521408081,L2_baseline,NeuralNet,3.732459545135498,,,210.01536560058594,,
225.640869140625,11.642937660217285,9.348485946655273,0.09929227828979492,L3_baseline_full,Ridge,0.16008949279785156,1000.0,,,,
227.19183349609375,11.791833877563477,9.591684341430664,0.0931011438369751,L3_baseline_full,XGBoost,2.1951935291290283,,86.0,,,
226.98223876953125,11.738181114196777,9.62269401550293,0.09393781423568726,L3_baseline_full,NeuralNet,2.6507277488708496,,,215.20921325683594,,
222.84933471679688,11.67438793182373,9.683349609375,0.11043542623519897,L3_agg_only,Ridge,0.017413854598999023,1000.0,,,,
227.81336975097656,11.835347175598145,9.573997497558594,0.09062016010284424,L3_agg_only,XGBoost,3.567316770553589,,61.0,,,
224.68418884277344,11.708906173706055,9.640491485595703,0.1031111478805542,L3_agg_only,NeuralNet,2.5181500911712646,,,220.32647705078125,,
229.2396240234375,11.84770393371582,9.88072681427002,0.08492684364318848,L3_PCA30,Ridge,0.011090278625488281,1000.0,,,,
232.4653778076172,12.022353172302246,10.158500671386719,0.07205033302307129,L3_PCA30,XGBoost,0.17481303215026855,,61.0,,,
231.13719177246094,11.905500411987305,9.785953521728516,0.07735216617584229,L3_PCA30,NeuralNet,2.808619499206543,,,219.439453125,,
226.8340301513672,11.728837013244629,9.657120704650879,0.09452944993972778,L3_PCA50,Ridge,0.017106056213378906,1000.0,,,,
233.13125610351562,12.008951187133789,9.757332801818848,0.06939232349395752,L3_PCA50,XGBoost,0.1460740566253662,,53.0,,,
226.15280151367188,11.776063919067383,9.84084701538086,0.09724873304367065,L3_PCA50,NeuralNet,2.4890761375427246,,,222.6001739501953,,
187.55267333984375,10.686519622802734,,0.25133174657821655,L1_xgb_tuned,XGBoost_tuned,0.1504042148590088,,,,10.648165702819824,
214.9131622314453,11.532899856567383,,0.14211487770080566,L2_xgb_tuned,XGBoost_tuned,0.6929469108581543,,,,11.386566162109375,
225.4238739013672,11.749646186828613,,0.1001584529876709,L3_agg_xgb_tuned,XGBoost_tuned,0.3995511531829834,,,,11.674225807189941,
187.34315490722656,10.668170928955078,,0.2521681785583496,L1_nn_tuned,NeuralNet_tuned,3.9905335903167725,,,,,186.94598388671875
210.7679901123047,11.43172550201416,,0.15866148471832275,L2_nn_tuned,NeuralNet_tuned,3.435506582260132,,,,,208.1542510986328
222.13900756835938,11.644165992736816,,0.11327093839645386,L3_agg_nn_tuned,NeuralNet_tuned,2.099172353744507,,,,,219.65322875976562
185.11447143554688,10.622115135192871,,0.2610645890235901,L1_ridge_wide,Ridge_wide,,1000.0,,,,
209.75306701660156,11.392396926879883,,0.16271281242370605,L2_ridge_wide,Ridge_wide,,500.0,,,,
222.84933471679688,11.67438793182373,,0.11043542623519897,L3_agg_ridge_wide,Ridge_wide,,1000.0,,,,
